subcounty_fips,county_fips,state_name,county_name,subcounty_name,n_lgbt,pct_lgbt,x,y,pct_dem,pct_temp_ideal,avg_daytime_temp,n_gym_10mi,n_boulder_60mi,n_route_200mi,gym_x,gym_y,gym_name,pct_temp_above_60,pct_not_poverty,pct_price_affordable,pct_cost_affordable
2501739625,25017,Massachusetts,Middlesex County,Maynard,118,0.01106630404201444,-71.45610723693683,42.4263838805845,0.6849439107216314,0.4849315068493151,61.55121150684931,2,1006,286,-71.3976141,42.31869409999999,Central Rock Gym,0.5068493150684932,0.9069680202569633,0.5151430953042512,0.26383319967923013
2501739835,25017,Massachusetts,Middlesex County,Medford,590,0.0099895025566354,-71.10863749891703,42.423425945399146,0.6849439107216314,0.4849315068493151,61.55121150684931,12,962,283,-71.07333779999999,42.42669679999999,"Rock Spot Climbing: Malden, MA",0.5068493150684932,0.8695946632352443,0.15178708390857498,0.28426332288401257
2501740115,25017,Massachusetts,Middlesex County,Melrose,312,0.01058057514921322,-71.05900870035819,42.455615983440374,0.6849439107216314,0.4849315068493151,61.55121150684931,12,976,283,-71.07333779999999,42.42669679999999,"Rock Spot Climbing: Malden, MA",0.5068493150684932,0.9329218665219751,0.14604196471149256,0.2666782790454625
2501743895,25017,Massachusetts,Middlesex County,Natick,252,0.00688017036612334,-71.34970800242614,42.284716515678184,0.6849439107216314,0.4849315068493151,61.55121150684931,2,1024,286,-71.3976141,42.31869409999999,Central Rock Gym,0.5068493150684932,0.9194037185682693,0.17474048442906576,0.2687713310580204
2501745560,25017,Massachusetts,Middlesex County,Newton,782,0.00883575883575882,-71.20847888532528,42.33161669706482,0.6849439107216314,0.4849315068493151,61.55121150684931,13,974,283,-71.1986579,42.3695289,Central Rock Gym,0.5068493150684932,0.9366808279851758,0.0555703506435864,0.10121516408353348
2501748955,25017,Massachusetts,Middlesex County,North Reading,70,0.00447742100550082,-71.08758707182456,42.581556727622555,0.6849439107216314,0.4849315068493151,61.55121150684931,1,956,285,-71.1110018,42.4777183,Central Rock Gym,0.5068493150684932,0.9638608161698862,0.15885947046843174,0.23353293413173648
2501752805,25017,Massachusetts,Middlesex County,Pepperell,66,0.00566231983527796,-71.60427168070267,42.67126298458958,0.6849439107216314,0.4849315068493151,61.55121150684931,1,984,286,-71.4598092,42.7545091,Vertical Dreams,0.5068493150684932,0.9192690459849004,0.629557472863902,0.3895189675400861
2501756130,25017,Massachusetts,Middlesex County,Reading,156,0.00613014775227914,-71.10556723944269,42.5350615403104,0.6849439107216314,0.4849315068493151,61.55121150684931,3,973,285,-71.1110018,42.4777183,Central Rock Gym,0.5068493150684932,0.9480116315624018,0.12971342383107087,0.22096627164995442
2501761380,25017,Massachusetts,Middlesex County,Sherborn,124,0.02815622161671208,-71.37532099538883,42.23414024180317,0.6849439107216314,0.4849315068493151,61.55121150684931,1,910,284,-71.3976141,42.31869409999999,Central Rock Gym,0.5068493150684932,0.9791099000908265,0.06291635825314579,0.09717868338558
2501761590,25017,Massachusetts,Middlesex County,Shirley,106,0.01510617072823142,-71.64710516272689,42.5724853189307,0.6849439107216314,0.4849315068493151,61.55121150684931,1,990,286,-71.4724583,42.5526844,MetroRock Littleton,0.5068493150684932,0.9429955821576173,0.7699696663296258,0.36912280701754385
