hex,rank,emoji,year,category,subcategory,name,source
\x{1F51E},403,🔞,2010,Symbols,warning,no one under eighteen,2021
\x{1F386},404,🎆,2010,Activities,event,fireworks,2021
\x{1F3A8},405,🎨,2010,Activities,arts & crafts,artist palette,2021
\x{1F1E7 1F1F7},406,🇧🇷,2015,Flags,country-flag,flag: Brazil,2021
\x{1F35E},407,🍞,2010,Food & Drink,food-prepared,bread,2021
\x{1F387},408,🎇,2010,Activities,event,sparkler,2021
\x{1F99C},409,🦜,2018,Animals & Nature,animal-bird,parrot,2021
\x{1F411},410,🐑,2010,Animals & Nature,animal-mammal,ewe,2021
\x{1F419},411,🐙,2010,Animals & Nature,animal-marine,octopus,2021
\x{1F98D},412,🦍,2016,Animals & Nature,animal-mammal,gorilla,2021
\x{1F1FA 1F1F2},413,🇺🇲,2015,Flags,country-flag,flag: U.S. Outlying Islands,2021
\x{1F517},414,🔗,2010,Objects,tool,link,2021
\x{1F4D6},415,📖,2010,Objects,book-paper,open book,2021
\x{267B FE0F},416,♻️,2010,Symbols,other-symbol,recycling symbol,2021
\x{1F539},417,🔹,2010,Symbols,geometric,small blue diamond,2021
\x{1F953},418,🥓,2016,Food & Drink,food-prepared,bacon,2021
\x{1F952},419,🥒,2016,Food & Drink,food-vegetable,cucumber,2021
\x{1F378},420,🍸,2010,Food & Drink,drink,cocktail glass,2021
\x{1F967},421,🥧,2017,Food & Drink,food-sweet,pie,2021
\x{2668 FE0F},422,♨️,2010,Travel & Places,place-other,hot springs,2021
\x{1F4BB},423,💻,2010,Objects,computer,laptop,2021
\x{1F416},424,🐖,2015,Animals & Nature,animal-mammal,pig,2021
\x{2694 FE0F},425,⚔️,2015,Objects,tool,crossed swords,2021
\x{1F4C8},426,📈,2010,Objects,office,chart increasing,2021
\x{26F1 FE0F},427,⛱️,2014,Travel & Places,sky & weather,umbrella on ground,2021
\x{1F48A},428,💊,2010,Objects,medical,pill,2021
\x{1F469},429,👩,2010,People & Body,person,woman,2021
\x{1F300},430,🌀,2010,Travel & Places,sky & weather,cyclone,2021
\x{1F486},431,💆,2010,People & Body,person-activity,person getting massage,2021
\x{1F969},432,🥩,2017,Food & Drink,food-prepared,cut of meat,2021
\x{1F384},433,🎄,2010,Activities,event,Christmas tree,2021
\x{1F33D},434,🌽,2010,Food & Drink,food-vegetable,ear of corn,2021
\x{1F925},435,🤥,2016,Smileys & Emotion,face-neutral-skeptical,lying face,2021
\x{1F3D8 FE0F},436,🏘️,2014,Travel & Places,place-building,houses,2021
\x{1F40E},437,🐎,2010,Animals & Nature,animal-mammal,horse,2021
\x{1F198},438,🆘,2010,Symbols,alphanum,SOS button,2021
\x{1F1EE 1F1F3},439,🇮🇳,2015,Flags,country-flag,flag: India,2021
\x{31 FE0F 20E3},440,1️⃣,2010,Symbols,keycap,keycap: 1,2021
\x{1F56F FE0F},441,🕯️,2014,Objects,light & video,candle,2021
\x{1F1E8 1F1E6},442,🇨🇦,2015,Flags,country-flag,flag: Canada,2021
\x{1F48F},443,💏,2010,People & Body,family,kiss,2021
\x{1F955},444,🥕,2016,Food & Drink,food-vegetable,carrot,2021
\x{1F5D1 FE0F},445,🗑️,2014,Objects,office,wastebasket,2021
\x{1F52E},446,🔮,2010,Activities,game,crystal ball,2021
\x{1F980},447,🦀,2015,Food & Drink,food-marine,crab,2021
\x{1F420},448,🐠,2010,Animals & Nature,animal-marine,tropical fish,2021
\x{1F31B},449,🌛,2010,Travel & Places,sky & weather,first quarter moon face,2021
\x{1F460},450,👠,2010,Objects,clothing,high-heeled shoe,2021
\x{262E FE0F},451,☮️,2015,Symbols,religion,peace symbol,2021
\x{1F413},452,🐓,2015,Animals & Nature,animal-bird,rooster,2021
\x{1F94A},453,🥊,2016,Activities,sport,boxing glove,2021
\x{1F1F9 1F1F7},454,🇹🇷,2015,Flags,country-flag,flag: Turkey,2021
\x{1F6D0},455,🛐,2015,Symbols,religion,place of worship,2021
\x{1F6AC},456,🚬,2010,Objects,other-object,cigarette,2021
\x{1F530},457,🔰,2010,Symbols,other-symbol,Japanese symbol for beginner,2021
\x{1F31C},458,🌜,2014,Travel & Places,sky & weather,last quarter moon face,2021
\x{1F374},459,🍴,2010,Food & Drink,dishware,fork and knife,2021
\x{1F954},460,🥔,2016,Food & Drink,food-vegetable,potato,2021
\x{1F393},461,🎓,2010,Objects,clothing,graduation cap,2021
\x{1F459},462,👙,2010,Objects,clothing,bikini,2021
\x{1F5FF},463,🗿,2010,Objects,other-object,moai,2021
\x{1F951},464,🥑,2016,Food & Drink,food-vegetable,avocado,2021
\x{1F46F},465,👯,2010,People & Body,person-activity,people with bunny ears,2021
\x{1F34D},466,🍍,2010,Food & Drink,food-fruit,pineapple,2021
\x{26FD},467,⛽,2010,Travel & Places,transport-ground,fuel pump,2021
\x{1F3C1},468,🏁,2010,Flags,flag,chequered flag,2021
\x{1F442},469,👂,2010,People & Body,body-parts,ear,2021
\x{1F98A},470,🦊,2016,Animals & Nature,animal-mammal,fox,2021
\x{1F443},471,👃,2010,People & Body,body-parts,nose,2021
\x{1F996},472,🦖,2017,Animals & Nature,animal-reptile,T-Rex,2021
\x{1F434},473,🐴,2010,Animals & Nature,animal-mammal,horse face,2021
\x{2709 FE0F},474,✉️,2010,Objects,mail,envelope,2021
